Phone_Name,Phone_Price
"Samsung Galaxy Note 9 (Metallic Copper, 512 GB)","₹93,000"
"Samsung Galaxy Note 9 (Lavender Purple, 128 GB)","₹73,600"
Samsung Guru Music 2,"₹1,877"
"Samsung Galaxy On8 (Black, 64 GB)","₹19,990"
"Samsung Galaxy On8 (Blue, 64 GB)","₹19,990"
"Samsung Galaxy Folder 2 (Wine Red, 16 GB)","₹27,330"
"Samsung Galaxy A6 (Gold, 32 GB)","₹12,499"
"Samsung Galaxy On6 (Black, 64 GB)","₹17,600"
"Samsung Galaxy S9 Plus (Sunrise Gold, 128 GB)","₹68,900"
"Samsung Galaxy J7 Duo (Blue, 32 GB)","₹17,990"
Samsung Metro XL,"₹3,780"
"Samsung Galaxy S8 (Burgundy Red, 64 GB)","₹49,990"
"Samsung Galaxy S9 (Midnight Black, 128 GB)","₹61,900"
"Samsung Galaxy S9 Plus (Midnight Black, 128 GB)","₹68,900"
"Samsung Galaxy J7 Prime 2 (Black, 32 GB)","₹14,990"
"Samsung Galaxy S9 (Coral Blue, 128 GB)","₹61,900"
"Samsung Galaxy J7 Prime 2 (Gold, 32 GB)","₹14,990"
"Samsung Galaxy S9 Plus (Coral Blue, 128 GB)","₹68,900"
"Samsung Galaxy S9 (Lilac Purple, 128 GB)","₹39,900"
"Samsung Galaxy S9 Plus (Lilac Purple, 128 GB)","₹68,900"
"Samsung Galaxy S9 (Lilac Purple, 64 GB)","₹24,999"
"Samsung Galaxy S9 Plus (Midnight Black, 64 GB)","₹30,999"
"Samsung Galaxy S9 Plus (Coral Blue, 64 GB)","₹30,999"
"Samsung Galaxy S9 (Coral Blue, 64 GB)","₹24,999"
"Samsung Galaxy S9 (Midnight Black, 64 GB)","₹24,999"
"Samsung Galaxy S9 Plus (Lilac Purple, 64 GB)","₹30,999"
"Samsung On7 Pro (Gold, 16 GB)","₹5,990"
"Samsung S7 Edge (Black Pearl, 128 GB)","₹36,900"
"Samsung Galaxy On Nxt (Gold, 16 GB)","₹11,200"
"Samsung Galaxy On Nxt (Black, 16 GB)","₹11,200"
"Samsung Galaxy C7 Pro (Gold, 64 GB)","₹26,600"
"Samsung Galaxy C7 Pro (Navy Blue, 64 GB)","₹26,600"
"Samsung Galaxy J7 Pro (Gold, 64 GB)","₹20,000"
Samsung B351E/Metro 350,"₹2,800"
Samsung B351E/Metro 350,"₹2,799"
Samsung B351E/Metro 350,"₹2,089"
"Samsung Galaxy S8 (Orchid Grey, 64 GB)","₹49,990"
"Samsung Galaxy On Max (Black, 32 GB)","₹19,900"
"Samsung Galaxy On Max (Gold, 32 GB)","₹19,900"
"Samsung Z4 (Gold, 8 GB)","₹6,200"
"Samsung Galaxy J3 Pro (White, 16 GB)","₹8,490"
"Samsung Galaxy J3 Pro (Black, 16 GB)","₹8,490"
